TF,atr,mult_e,mult_t,mode,sesi,n,net,PF,WR%,avgR,maxDD,hijau,netSide,netBull,avgR_side
M15,14,2.5,-,sell_only,all,2141,-722,0.94,31.5,-0.0888,-2021,1/6,-688,-34,-0.1064
M15,14,2.5,-,sell_only,asia,404,277,1.14,32.9,-0.0213,-343,2/6,2,275,-0.0434
M15,14,2.5,-,sell_only,ny,706,-813,0.82,34.4,-0.0908,-1191,1/6,-203,-610,-0.0626
M15,14,2.5,3.8,moderate,all,3294,269,1.01,33.3,-0.0372,-1429,2/6,-856,1125,-0.0666
M15,14,2.5,3.8,moderate,asia,577,46,1.02,34.0,-0.0275,-331,2/6,-80,126,-0.0477
M15,14,2.5,3.8,moderate,ny,1143,-619,0.91,36.8,-0.0537,-1015,2/6,-156,-463,-0.0516
M15,14,2.5,3.8,conservative,all,1379,937,1.13,33.6,-0.0315,-898,2/6,-358,1295,-0.0581
M15,14,2.5,3.8,conservative,asia,235,-14,0.99,34.0,-0.0794,-434,2/6,-50,35,-0.054
M15,14,2.5,3.8,conservative,ny,524,-374,0.89,34.0,-0.0852,-764,3/6,-247,-127,-0.1169
M15,14,2.5,5.0,moderate,all,2896,863,1.06,33.6,-0.0321,-1036,2/6,-685,1548,-0.0723
