TF,mult_e,struct,TP_R,sesi,n,net,PF,WR%,avgR,maxDD,hijau,avgR_side,net_side,avgR_bull,net_bull
M30,1.2,20,2.0,asia,1053,854.0,1.06,36.0,-0.026,-1802.0,3/6,-0.058,-640.0,0.011,1494.0
M30,1.8,20,2.0,asia,613,1267.0,1.12,32.8,-0.026,-1530.0,2/6,-0.089,-615.0,0.036,1882.0
M30,1.8,10,flip,all,3307,3390.0,1.06,33.3,-0.026,-4644.0,2/6,-0.056,-1788.0,0.011,5178.0
M30,1.2,10,flip,asia,1053,708.0,1.05,35.5,-0.026,-1523.0,3/6,-0.055,-520.0,0.008,1228.0
M15,1.2,10,flip,ny,2930,-1836.0,0.95,35.5,-0.027,-2128.0,1/6,-0.036,-778.0,-0.017,-1058.0
H1,1.2,10,2.0,asia,449,1403.0,1.14,33.4,-0.028,-1056.0,2/6,-0.131,-696.0,0.073,2099.0
M30,1.2,10,5.0,asia,1053,640.0,1.05,35.5,-0.028,-1528.0,3/6,-0.073,-648.0,0.022,1288.0
M30,1.8,20,5.0,all,3307,4051.0,1.07,33.6,-0.028,-4797.0,2/6,-0.068,-2178.0,0.021,6229.0
M5,1.2,20,flip,ny,7627,-4159.0,0.93,34.2,-0.029,-5005.0,0/6,-0.034,-2453.0,-0.023,-1706.0
M30,1.8,20,4.0,all,3307,4844.0,1.08,33.6,-0.03,-5152.0,2/6,-0.072,-2403.0,0.022,7246.0
M30,1.8,10,4.0,all,3307,4761.0,1.08,33.4,-0.03,-4731.0,2/6,-0.073,-2133.0,0.023,6894.0
M15,1.8,20,3.0,asia,1452,656.0,1.04,37.0,-0.031,-1008.0,2/6,-0.059,-605.0,0.003,1262.0
M15,1.2,20,4.0,asia,2276,1493.0,1.08,37.7,-0.031,-1113.0,3/6,-0.059,-412.0,-0.0,1906.0
M15,1.8,10,3.0,asia,1452,558.0,1.04,36.8,-0.031,-1088.0,2/6,-0.055,-533.0,-0.002,1091.0
M15,1.2,10,4.0,ny,2930,-2158.0,0.94,35.6,-0.032,-2695.0,2/6,-0.036,-758.0,-0.027,-1400.0
